id,exp,group,icon,model,order,pass_weight,reward,type
1001,,1,,[icon_lattice_start],1,-1,,1
1002,,1,icon_type_4,[icon_lattice_White],2,100,[427],2
1003,,1,icon_type_5,[icon_lattice_yellow],3,-1,,3
1004,,1,icon_type_3,[icon_lattice_White],4,100,[420],2
1005,,1,icon_type_2,[icon_lattice_White],5,100,[421],2
1006,,1,icon_type_4,[icon_lattice_blue],6,100,[422],2
1007,,1,icon_type_6,[icon_lattice_White],7,100,[423],2
1008,,1,icon_type_5,[icon_lattice_yellow],8,-1,,3
1009,,1,icon_type_3,[icon_lattice_White],9,100,[425],2
1010,,1,icon_type_3,[icon_lattice_White],10,100,[425],2
1011,,1,icon_type_2,[icon_lattice_White],11,100,[427],2
1012,,1,icon_type_6,[icon_lattice_White],12,100,[428],2
1013,,1,icon_type_5,[icon_lattice_yellow],13,-1,,3
1014,,1,icon_type_4,[icon_lattice_White],14,100,[430],2
1015,,1,icon_type_3,[icon_lattice_White],15,100,[420],2
1016,,1,icon_type_1,[icon_lattice_yellow],16,100,[421],2
1017,,1,icon_type_5,[icon_lattice_yellow],17,-1,,3
1018,,1,icon_type_2,[icon_lattice_Purple],18,100,[423],2
1019,,1,icon_type_6,[icon_lattice_White],19,100,[424],2
1020,,1,icon_type_3,[icon_lattice_White],20,100,[425],2
1021,,1,icon_type_5,[icon_lattice_yellow],21,-1,,3
1022,,1,icon_type_3,[icon_lattice_White],22,100,[427],2
1023,,1,icon_type_2,[icon_lattice_White],23,100,[428],2
1024,,1,icon_type_2,[icon_lattice_White],24,100,[428],2
1025,,1,icon_type_3,[icon_lattice_White],25,100,[430],2
1026,,1,icon_type_5,[icon_lattice_yellow],26,-1,,3
1101,,2,,[icon_lattice_start],1,-1,,1
1102,,2,icon_type_2,[icon_lattice_Purple],2,60,[407301001],2
1103,,2,icon_type_3,[icon_lattice_White],3,100,[407301002],2
1104,,2,icon_type_6,[icon_lattice_blue],4,100,[407301003],2
1105,,2,icon_type_3,[icon_lattice_blue],5,100,[407301004],2
1106,,2,icon_type_5,[icon_lattice_yellow],6,-1,,3
1107,,2,icon_type_6,[icon_lattice_blue],7,120,[407301005],2
1108,,2,icon_type_1,[icon_lattice_green],8,100,[407301006],2
1109,,2,icon_type_3,[icon_lattice_blue],9,100,[407301007],2
1110,,2,icon_type_3,[icon_lattice_blue],10,100,[407301008],2
1111,,2,icon_type_3,[icon_lattice_White],11,100,[407301009],2
1112,,2,icon_type_4,[icon_lattice_Purple],12,100,[407301010],2
1113,,2,icon_type_6,[icon_lattice_blue],13,100,[407301011],2
1114,,2,icon_type_5,[icon_lattice_yellow],14,-1,,3
1115,,2,icon_type_6,[icon_lattice_blue],15,120,[407301012],2
