id,attribute_rate_random,break_reward,camp_random,equip_random,equipment_star_random,exp,get_exp,level,make_cost,make_success,makeCost,pre_building_level,preBuildLv,quality_random,qualityRandom,starRandom
1,"7000|7000|0,7000|8000|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|21000,222|21000,223|21000,224|21000,321|4000,322|4000,323|4000,324|4000",[0|95|1|5],0,1,1,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|840|3|160],[[2|840]|[3|160]],[[0|95]|[1|5]]
2,"7100|7100|0,7100|8100|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|20875,222|20875,223|20875,224|20875,321|4125,322|4125,323|4125,324|4125",[0|95|1|5],2,2,2,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|835|3|165],[[2|835]|[3|165]],[[0|95]|[1|5]]
3,"7100|7100|0,7100|8200|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|20250,222|20250,223|20250,224|20250,321|4250,322|4250,323|4250,324|4250,411|250,412|250,413|250,414|250,431|250,432|250,433|250,434|250",[0|90|1|10],8,3,3,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|810|3|170|4|20],[[2|810]|[3|170]|[4|20]],[[0|90]|[1|10]]
4,"7150|7150|0,7150|8300|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|19875,222|19875,223|19875,224|19875,321|4375,322|4375,323|4375,324|4375,411|375,412|375,413|375,414|375,431|375,432|375,433|375,434|375",[0|85|1|10|2|5],18,4,4,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|795|3|175|4|30],[[2|795]|[3|175]|[4|30]],[[0|85]|[1|10]|[2|5]]
5,"7200|7200|0,7200|8400|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|19500,222|19500,223|19500,224|19500,321|4500,322|4500,323|4500,324|4500,411|500,412|500,413|500,414|500,431|500,432|500,433|500,434|500",[0|80|1|12|2|8],32,5,5,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|780|3|180|4|40],[[2|780]|[3|180]|[4|40]],[[0|80]|[1|12]|[2|8]]
6,"7250|7250|0,7250|8500|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|19125,222|19125,223|19125,224|19125,321|4625,322|4625,323|4625,324|4625,411|625,412|625,413|625,414|625,431|625,432|625,433|625,434|625",[0|75|1|14|2|11],60,6,6,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|765|3|185|4|50],[[2|765]|[3|185]|[4|50]],[[0|75]|[1|14]|[2|11]]
7,"7300|7300|0,7300|8600|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|18500,222|18500,223|18500,224|18500,321|4750,322|4750,323|4750,324|4750,411|750,412|750,413|750,414|750,431|750,432|750,433|750,434|750,511|83,512|83,513|83,514|83,531|83,532|83,533|83,534|83,521|83,522|83,523|83,524|83",[0|70|1|16|2|14],96,7,7,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|740|3|190|4|60|5|10],[[2|740]|[3|190]|[4|60]|[5|10]],[[0|70]|[1|16]|[2|14]]
8,"7350|7350|0,7350|8700|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|18000,222|18000,223|18000,224|18000,321|4875,322|4875,323|4875,324|4875,411|875,412|875,413|875,414|875,431|875,432|875,433|875,434|875,511|125,512|125,513|125,514|125,531|125,532|125,533|125,534|125,521|125,522|125,523|125,524|125",[0|65|1|18|2|17],140,8,8,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|720|3|195|4|70|5|15],[[2|720]|[3|195]|[4|70]|[5|15]],[[0|65]|[1|18]|[2|17]]
9,"7400|7400|0,7400|8800|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|17375,222|17375,223|17375,224|17375,321|5000,322|5000,323|5000,324|5000,411|1062,412|1062,413|1062,414|1062,431|1062,432|1062,433|1062,434|1062,511|166,512|166,513|166,514|166,531|166,532|166,533|166,534|166,521|166,522|166,523|166,524|166",[0|60|1|20|2|20],192,9,9,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|695|3|200|4|85|5|20],[[2|695]|[3|200]|[4|85]|[5|20]],[[0|60]|[1|20]|[2|20]]
10,"7500|7500|0,7500|8999|0,10000|10000|100",2|206|50,"0|300,1|100,2|100,3|100","221|16750,222|16750,223|16750,224|16750,321|5125,322|5125,323|5125,324|5125,411|1250,412|1250,413|1250,414|1250,431|1250,432|1250,433|1250,434|1250,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|59|1|20|2|21],252,10,10,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|670|3|205|4|100|5|25],[[2|670]|[3|205]|[4|100]|[5|25]],[[0|59]|[1|20]|[2|21]]
11,"7400|7400|0,7400|8800|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|16725,222|16725,223|16725,224|16725,321|5125,322|5125,323|5125,324|5125,411|1262,412|1262,413|1262,414|1262,431|1262,432|1262,433|1262,434|1262,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|59|1|20|2|21],320,10,11,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|669|3|205|4|101|5|25],[[2|669]|[3|205]|[4|101]|[5|25]],[[0|59]|[1|20]|[2|21]]
12,"7500|7500|0,7500|8999|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|16700,222|16700,223|16700,224|16700,321|5125,322|5125,323|5125,324|5125,411|1275,412|1275,413|1275,414|1275,431|1275,432|1275,433|1275,434|1275,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|59|1|20|2|21],360,10,12,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|668|3|205|4|102|5|25],[[2|668]|[3|205]|[4|102]|[5|25]],[[0|59]|[1|20]|[2|21]]
13,"7400|7400|0,7400|8800|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|16675,222|16675,223|16675,224|16675,321|5125,322|5125,323|5125,324|5125,411|1287,412|1287,413|1287,414|1287,431|1287,432|1287,433|1287,434|1287,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|57|1|21|2|22],400,10,13,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|667|3|205|4|103|5|25],[[2|667]|[3|205]|[4|103]|[5|25]],[[0|57]|[1|21]|[2|22]]
